"Was ist eine Kennzahl in der mehrdimensionalen Datenmodellierung?","Eine numerische Größe zur Diagnose, Überwachung und Steuerung, die im Data Warehouse als Fakt oder Measure analysiert wird","week-3 ws25-26 data-warehousing kennzahlen source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Wie unterscheiden sich additive, semi-additive und nicht-additive Kennzahlen?","<ul><li><strong>Additiv</strong>: über alle relevanten Dimensionen summierbar</li><li><strong>Semi-additiv</strong>: nur über ausgewählte Dimensionen additiv</li><li><strong>Nicht-additiv</strong>: keine sinnvolle Summierung, z.B. Prozentsatz oder Durchschnitt</li></ul>","week-3 ws25-26 data-warehousing kennzahlenarten source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Welche Aufgabe erfüllen Dimensionen bei der Analyse von Kennzahlen?","Dimensionen geben Kennzahlen ihren fachlichen Kontext, z.B. nach Zeit, Region oder Produkt, und machen Werte dadurch interpretierbar","week-3 ws25-26 data-warehousing dimensionen source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Wie sind Dimensionen und Kennzahlen im Data Cube abgebildet?","Dimensionen bilden die Koordinaten einer Zelle und Kennzahlen sind die Werte an den Schnittpunkten dieser Koordinaten","week-3 ws25-26 data-warehousing data-cube source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Wie viele Cuboide besitzt ein n-dimensionaler Cube ohne Dimensionshierarchien?","Ein n-dimensionaler Cube besitzt \\(2^n\\) Cuboide inklusive Basis-Cuboid und Scheitel-Cuboid","week-3 ws25-26 data-warehousing cuboide-aggregationsgitter source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Was ist der Unterschied zwischen Basis-Cuboid und Scheitel-Cuboid?","<ul><li><strong>Basis-Cuboid</strong>: enthält die detaillierteste n-dimensionale Sicht</li><li><strong>Scheitel-Cuboid</strong>: 0-dimensionale Vollaggregation über alle Dimensionen</li></ul>","week-3 ws25-26 data-warehousing cuboide source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Was beschreibt ein Aggregationsgitter im Cube-Kontext?","Das Aggregationsgitter ist der Verband aller Cuboide, die aus einem Basis-Cube durch unterschiedliche Aggregationsgrade abgeleitet werden","week-3 ws25-26 data-warehousing aggregationsgitter source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Welche Eigenschaften haben hierarchische Dimensionen im Data Warehouse?","<ul><li>Sie besitzen Ebenen vom Detailniveau bis zum Top-Level All</li><li>Zwischen den Ebenen bestehen funktionale Abhängigkeiten</li><li>Sie ermöglichen Drill-Down und Roll-Up entlang der Hierarchie</li></ul>","week-3 ws25-26 data-warehousing dimensionshierarchien source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Was unterscheidet Slice von Dice als Cube-Operation?","<ul><li><strong>Slice</strong>: Selektion auf einer Dimension, meist mit geringerer Dimensionalität</li><li><strong>Dice</strong>: Selektion auf mehreren Dimensionen als Teilwürfel</li></ul>","week-3 ws25-26 data-warehousing cube-operationen source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Wie unterscheiden sich Drill-Down und Roll-Up innerhalb einer Dimensionshierarchie?","<ul><li><strong>Drill-Down</strong>: Navigation zu detaillierteren Ebenen</li><li><strong>Roll-Up</strong>: Navigation zu stärker aggregierten Ebenen</li></ul>","week-3 ws25-26 data-warehousing drilldown-rollup source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Welche typische Skalierungsgrenze hat die direkte multidimensionale Speicherung in MOLAP?","Die Zahl möglicher Zellen wächst mit dem Kreuzprodukt der Dimensionskardinalitäten sehr stark, wodurch große Cubes schwer skalierbar werden<br><br><div class=""legend"">MOLAP: Multidimensional Online Analytical Processing</div>","week-3 ws25-26 data-warehousing molap source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Wie geht MOLAP mit dünn besetzten Cubes um?","Typisch ist die Aufteilung in speicherpassende Sub-Cubes oder Chunks mit zweistufiger Adressierung über Chunk-ID und Zelle im Chunk<br><br><div class=""legend"">MOLAP: Multidimensional Online Analytical Processing</div>","week-3 ws25-26 data-warehousing molap-speicherung source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Wofür wird MDX im Data-Warehouse-Umfeld verwendet?","MDX dient zur Abfrage multidimensional gespeicherter Cubes und zur Auswahl aggregierter Sub-Cubes über Achsen und Slicer<br><br><div class=""legend"">MDX: Multidimensional Expressions</div>","week-3 ws25-26 data-warehousing mdx source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Welche Kernteile enthält eine MDX-SELECT-Anfrage?","<ul><li>Achsenspezifikationen wie rows und columns</li><li>Die Cube-Quelle im FROM-Teil</li><li>Optional einen Slicer im WHERE-Teil zur Werteauswahl</li></ul><br><br><div class=""legend"">MDX: Multidimensional Expressions</div>","week-3 ws25-26 data-warehousing mdx-abfragen source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Welche Grundidee verfolgt ROLAP bei mehrdimensionalen Daten?","ROLAP speichert Fakten und Dimensionen relational in Tabellen und bildet mehrdimensionale Analysen über SQL-Joins und Aggregationen ab<br><br><div class=""legend"">ROLAP: Relational Online Analytical Processing</div>","week-3 ws25-26 data-warehousing rolap source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Warum ist ein Star-Schema in ROLAP oft besser als ein vollständig normalisiertes Schema?","Dimensionen sind im Star-Schema meist denormalisiert, wodurch analytische Anfragen mit weniger Joins und geringerer Komplexität formuliert werden können<br><br><div class=""legend"">ROLAP: Relational Online Analytical Processing</div>","week-3 ws25-26 data-warehousing star-schema-rolap source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Was ist der zentrale Tradeoff des Snowflake-Schemas gegenüber dem Star-Schema?","Das Snowflake-Schema reduziert Redundanz durch normalisierte Dimensionen, erhöht aber den Join-Aufwand und damit die Zugriffskosten","week-3 ws25-26 data-warehousing snowflake-schema source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Was kennzeichnet ein Galaxien-Schema im Data Warehouse?","Ein Galaxien-Schema kombiniert mehrere Faktentabellen, die gemeinsame Dimensionstabellen nutzen und damit mehrere Analysebereiche in einer Fact-Constellation verbinden","week-3 ws25-26 data-warehousing galaxien-schema source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Wie läuft eine typische SQL-Star-Join-Auswertung ab?","<ol><li>Dimensionstabellen und Faktentabelle über Schlüssel verbinden</li><li>Dimensionen per WHERE filtern</li><li>Kennzahlen aggregieren</li><li>Über die gewünschten Analyseattribute gruppieren</li></ol>","week-3 ws25-26 data-warehousing sql-star-join source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Was bewirkt GROUP BY CUBE in SQL?","GROUP BY CUBE erzeugt für n Attribute alle \\(2^n\\) Gruppierungskombinationen inklusive Vollaggregation","week-3 ws25-26 data-warehousing group-by-cube source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Was ist der Unterschied zwischen GROUP BY CUBE und GROUP BY ROLLUP?","<table><thead><tr><th>CUBE</th><th>ROLLUP</th></tr></thead><tbody><tr><td>Inter-dimensionale Aggregation über alle Kombinationen</td><td>Intra-dimensionale Hierarchieaggregation entlang einer Attributreihenfolge</td></tr><tr><td>Erzeugt bei n Attributen \\(2^n\\) Gruppen</td><td>Erzeugt bei n Attributen \\(n+1\\) Gruppen</td></tr></tbody></table>","week-3 ws25-26 data-warehousing cube-vs-rollup source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Wofür nutzt man GROUPING SETS in SQL-Analysen?","GROUPING SETS erlaubt mehrere explizit definierte Gruppierungen in einer einzigen Anfrage, ohne alle Kombinationen eines vollständigen Cubes zu berechnen","week-3 ws25-26 data-warehousing grouping-sets source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Worin unterscheiden sich RANK und DENSE_RANK bei SQL-Rangfolgen?","<ul><li><strong>RANK</strong> lässt Rangnummern nach Gleichstand aus</li><li><strong>DENSE_RANK</strong> vergibt lückenlose Rangnummern</li></ul>","week-3 ws25-26 data-warehousing rank-window-queries source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
"Welche Kernbausteine hat eine SQL-Window-Query mit OVER?","<ul><li>Optional PARTITION BY zur Aufteilung in Teilsequenzen</li><li>Optional ORDER BY zur Reihenfolge innerhalb einer Sequenz</li><li>Optionales Fenster mit ROWS oder RANGE, z.B. für gleitende Mittelwerte oder kumulierte Summen</li></ul>","week-3 ws25-26 data-warehousing window-queries source::kapitel-3-mehrdimensio___enmodellierung-und-operationen"
