"What is an informal definition of a tensor?","<blockquote>An ordered set of numbers which is indexable along several axes.</blockquote>","week-2 winter-2025-2026 pytorch machine-learning source::week-2-slides-l2-pytorch-part1"
"What three key properties define a PyTorch tensor?","<ul><li><strong>Shape vector</strong> (dimensions/counts)</li><li><strong>Data type</strong> (dtype)</li><li><strong>Device placement</strong></li></ul>","week-2 winter-2025-2026 pytorch machine-learning source::week-2-slides-l2-pytorch-part1"
"Why is using double precision (torch.float64) often discouraged in PyTorch?","<blockquote>It is <strong>slow</strong> on most GPUs.</blockquote>","week-2 winter-2025-2026 pytorch machine-learning source::week-2-slides-l2-pytorch-part1"
"Which functions are used to save and load PyTorch tensors to/from disk?","<ul><li><code>torch.save()</code></li><li><code>torch.load()</code></li></ul>","week-2 winter-2025-2026 pytorch machine-learning source::week-2-slides-l2-pytorch-part1"
"What is the difference between torch.tensor(np_array) and torch.from_numpy(np_array)?","<table><thead><tr><th>Function</th><th>Behavior</th></tr></thead><tbody><tr><td><code>torch.tensor()</code></td><td><strong>Copies</strong> the data</td></tr><tr><td><code>torch.from_numpy()</code></td><td><strong>Shares</strong> memory (edits reflected in both)</td></tr></tbody></table>","week-2 winter-2025-2026 pytorch machine-learning numpy source::week-2-slides-l2-pytorch-part1"
"How does the ""joker"" index -1 behave in x.view(-1, 5)?","<blockquote>PyTorch <strong>automatically calculates</strong> the required dimension size based on the total number of elements.</blockquote>","week-2 winter-2025-2026 pytorch machine-learning source::week-2-slides-l2-pytorch-part1"
"How can you restrict a Python script to use only a specific GPU on a multi-GPU system?","Set the environment variable: <pre><code class=\"hljs language-bash\">CUDA_VISIBLE_DEVICES=N</code></pre> where <strong>N</strong> is the GPU index.","week-2 winter-2025-2026 pytorch machine-learning cuda source::week-2-slides-l2-pytorch-part1"
"Why should you prefer broadcasting or built-in torch operations over nested for-loops?","<ul><li>Broadcasting is <strong>much faster</strong>.</li><li>Avoids the overhead of interpreted Python loops.</li></ul>","week-2 winter-2025-2026 pytorch machine-learning broadcasting source::week-2-slides-l2-pytorch-part1"
"What is the first rule of broadcasting when two tensors have different numbers of dimensions?","The smaller tensor is conceptually <strong>filled with singleton dimensions</strong> (size 1) from the <strong>left</strong> until it has the same dimensionality as the larger tensor.","week-2 winter-2025-2026 pytorch machine-learning broadcasting source::week-2-slides-l2-pytorch-part1"
"What makes two tensors incompatible for broadcasting in a specific dimension?","If <strong>both tensors</strong> have sizes &gt; 1 in that dimension and those sizes are <strong>not equal</strong>.","week-2 winter-2025-2026 pytorch machine-learning broadcasting source::week-2-slides-l2-pytorch-part1"
"How is a dimension of size 1 handled during a broadcasting operation?","It is conceptually <strong>replicated/copied</strong> until it matches the size of the corresponding dimension in the other tensor.","week-2 winter-2025-2026 pytorch machine-learning broadcasting source::week-2-slides-l2-pytorch-part1"
"What is the result shape of torch.dot(a, b) for two 1D tensors of size d?","A <strong>scalar</strong> (rank-0 tensor).","week-2 winter-2025-2026 pytorch machine-learning linalg source::week-2-slides-l2-pytorch-part1"
"What is the constraint for matrix multiplication torch.mm(A, B)?","<ul><li>Input A must be (i, k) and B must be (k, l).</li><li>The <strong>inner dimensions must match</strong>.</li><li>It does <strong>not</strong> support broadcasting.</li></ul>","week-2 winter-2025-2026 pytorch machine-learning linalg source::week-2-slides-l2-pytorch-part1"
"What does torch.bmm(A, B) perform on two 3D tensors of shape (b, i, k) and (b, k, l)?","<strong>Batched matrix multiplication</strong>: it performs <code>b</code> independent matrix multiplications, one for each batch index.","week-2 winter-2025-2026 pytorch machine-learning linalg source::week-2-slides-l2-pytorch-part1"
"What is the difference between torch.squeeze() and torch.unsqueeze()?","<ul><li><code>squeeze()</code>: <strong>Removes</strong> singleton dimensions (size 1).</li><li><code>unsqueeze()</code>: <strong>Inserts</strong> a singleton dimension at a specified axis.</li></ul>","week-2 winter-2025-2026 pytorch machine-learning source::week-2-slides-l2-pytorch-part1"
"What is the difference between torch.transpose() and torch.permute()?","<ul><li><code>transpose()</code>: Swaps <strong>exactly two</strong> dimensions.</li><li><code>permute()</code>: Reorders <strong>any number</strong> of dimensions simultaneously.</li></ul>","week-2 winter-2025-2026 pytorch machine-learning source::week-2-slides-l2-pytorch-part1"
"What are the six typical steps in the computational flow of a PyTorch model?","<ol><li>Define <strong>Dataset/DataLoader</strong></li><li>Define <strong>Prediction Model</strong></li><li>Define <strong>Loss</strong></li><li>Define <strong>Optimizer</strong></li><li>Initialize Parameters</li><li>Loop over epochs (train/validation)</li></ol>","week-2 winter-2025-2026 pytorch machine-learning source::week-2-slides-l2-pytorch-part1"
"Why is transforms.Normalize() applied to image data during training?","<ul><li>Centers data around 0.</li><li>Makes training outcomes <strong>more stable</strong>.</li><li>Gradients are more easily centered around 0.</li></ul>","week-2 winter-2025-2026 pytorch machine-learning transforms source::week-2-slides-l2-pytorch-part1"
"When should you use an Iterable-style Dataset instead of a Map-style Dataset?","For <strong>streaming</strong> or dynamic data sources (e.g., Kafka, database queries) where a fixed index is not readily available.","week-2 winter-2025-2026 pytorch machine-learning data source::week-2-slides-l2-pytorch-part1"
"What is the primary role of the __getitem__ method in a Map-style Dataset?","It handles <strong>data loading and processing</strong> (e.g., loading an image from disk and applying transforms) for the i-th sample.","week-2 winter-2025-2026 pytorch machine-learning data source::week-2-slides-l2-pytorch-part1"
"What is the primary role of the DataLoader in PyTorch?","It <strong>aggregates</strong> individual samples from a Dataset into <strong>minibatches</strong> for parallel processing and handles shuffling.","week-2 winter-2025-2026 pytorch machine-learning data source::week-2-slides-l2-pytorch-part1"
"Why is it critical to use model.train() and model.eval() correctly?","Certain layers (like <strong>BatchNorm</strong> and <strong>Dropout</strong>) behave differently in training vs. evaluation mode; using the wrong mode leads to invalid results.","week-2 winter-2025-2026 pytorch machine-learning source::week-2-slides-l2-pytorch-part1"
"What is the purpose of the with torch.no_grad(): context manager?","It <strong>disables gradient tracking</strong>, reducing memory usage and speeding up computations during validation or inference.","week-2 winter-2025-2026 pytorch machine-learning source::week-2-slides-l2-pytorch-part1"
