"Welche vier grundlegenden Möglichkeiten nennt das Kapitel, um in Netzwerken Schaden zu verursachen?","<ul><li><strong>Abfangen</strong></li><li><strong>Modifizieren</strong></li><li><strong>Unterbrechen</strong></li><li><strong>Einschleusen</strong></li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit angriffe grundlagen source::05-net-sicherheit"
"Was ist die Hauptaufgabe einer Firewall?","<blockquote>Eine Firewall trennt Netzwerksegmente mit unterschiedlichen Sicherheitsniveaus und erzwingt Kommunikationsregeln.</blockquote>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit firewall grundlagen source::05-net-sicherheit"
"Welche Leistungen einer Firewall nennt die Vorlesung ausdrücklich?","<ul><li><strong>Fokus für Sicherheitsentscheidungen</strong></li><li><strong>Regeln durchsetzen</strong> (wer darf mit wem?)</li><li><strong>Aktivitäten loggen</strong></li><li><strong>Schutz auf Teilnetze begrenzen</strong> (Angriffsfläche reduzieren)</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit firewall leistung source::05-net-sicherheit"
"Welche Dinge kann eine Firewall laut Vorlesung nicht leisten?","<ul><li>Schützt <strong>nicht</strong> gegen interne Angreifer.</li><li>Überwacht <strong>keine</strong> Verbindungen, die sie umgehen (z.B. LTE-Stick).</li><li>Schützt <strong>nicht zuverlässig</strong> vor neuen Bedrohungen oder Malware.</li><li>Konfiguriert sich <strong>nicht</strong> selbst.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit firewall grenzen source::05-net-sicherheit"
"Welche zwei Grundstrategien für Paketfilter-Regeln gibt es?","<ul><li><strong>Default deny</strong>: Alles verboten, was nicht explizit erlaubt ist.</li><li><strong>Default permit</strong>: Alles erlaubt, was nicht explizit verboten ist.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter strategie source::05-net-sicherheit"
"Welche Aktionen kann ein Paketfilter durchführen?","<ul><li><strong>Pass</strong> (weiterleiten)</li><li><strong>Drop</strong> (verwerfen)</li><li><strong>Reject</strong> (verwerfen + Absender informieren)</li><li><strong>Log</strong> (mitloggen)</li><li><strong>NAT</strong> (weiterleiten an anderes Netz; kein echtes Filtern)</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter source::05-net-sicherheit"
"Welche Felder sind für eine Firewall-Regel typischerweise relevant (Schichten 2–4)?","<ul><li><strong>MAC/Hardware-Adresse</strong> (Layer 2)</li><li><strong>IP-Quelle/Ziel</strong> und <strong>Protokoll</strong> (TCP/UDP/ICMP)</li><li><strong>Ports</strong> (Source/Destination)</li><li><strong>TCP-Flags</strong> (SYN/ACK/RST)</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter header source::05-net-sicherheit"
"Was bedeutet „Inbound“ und „Outbound“ bei Paketfilter-Regeln?","<ul><li><strong>Outbound</strong>: Paket kommt aus dem internen Netz und geht nach außen.</li><li><strong>Inbound</strong>: Paket kommt von außen in das interne Netz.</li><li>Jede Regel muss die Richtung festlegen.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter richtung source::05-net-sicherheit"
"Warum benötigen TCP-Verbindungen Filterregeln in beide Richtungen?","<ul><li>TCP ist <strong>verbindungsorientiert</strong> und nutzt ACKs.</li><li>Es gibt immer <strong>Inbound- und Outbound-Pakete</strong>.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit tcp paketfilter source::05-net-sicherheit"
"Wofür wird das TCP-ACK-Flag in Paketfilter-Regeln genutzt?","<blockquote>ACK ist im ersten Paket <strong>false</strong>, danach <strong>true</strong>.</blockquote><ul><li>Damit kann man Regeln formulieren, die nur <strong>Antwortpakete</strong> erlauben.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit tcp ack source::05-net-sicherheit"
"Welche Schwäche zeigt das X11-Beispiel der Vorlesung bei einfachen Paketfilter-Regeln?","<ul><li>Regeln nur mit Zielport <strong>25</strong> und Source-Port <strong>&gt;1023</strong> erlauben unerwünschte Dienste wie X11.</li><li>Angreifer können Ports aus User-Space nutzen und so Regeln umgehen.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter beispiel source::05-net-sicherheit"
"Warum kann ein Angreifer Paketfilter-Regeln über Source-Ports umgehen?","<blockquote>Source-Ports lassen sich fälschen oder gezielt setzen.</blockquote><ul><li>Beispiel: Externer Angreifer startet Verbindungen mit <strong>Source-Port 25</strong>.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter schwaechen source::05-net-sicherheit"
"Welche Arten von Firewall-Architekturen werden im Kapitel genannt?","<ul><li><strong>Simple Packet Filter</strong></li><li><strong>Dual-Homed Host</strong></li><li><strong>Screened Host</strong></li><li><strong>Screened Subnet (DMZ)</strong></li><li><strong>Split Screened Subnet</strong></li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit firewall architektur source::05-net-sicherheit"
"Was sind die typischen Vorteile und Nachteile einer Simple Packet Filter-Architektur?","<table><thead><tr><th>Vorteile</th><th>Nachteile</th></tr></thead><tbody><tr><td>Kostengünstig, einfache Wartung</td><td>Single Point of Failure</td></tr><tr><td>Einfaches Regelwerk</td><td>Bei Kompromittierung ist alles offen</td></tr></tbody></table>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit firewall architektur source::05-net-sicherheit"
"Was zeichnet eine Dual-Homed Host-Architektur aus?","<ul><li>Host mit <strong>zwei Netzwerkschnittstellen</strong> trennt Segmente.</li><li>Agiert als Router/NAT und kann zusätzliche Filter/Proxies/Virenscanner leisten.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit dual-homed-host source::05-net-sicherheit"
"Welche Vor- und Nachteile hat die Dual-Homed Host-Architektur?","<table><thead><tr><th>Vorteile</th><th>Nachteile</th></tr></thead><tbody><tr><td>Keine direkte Verbindung zum internen Netz</td><td>Flaschenhals/Performance</td></tr><tr><td>Logging und bessere Kontrolle</td><td>Attraktives Angriffsziel</td></tr></tbody></table>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit dual-homed-host source::05-net-sicherheit"
"Was kennzeichnet die Screened Host-Architektur?","<ul><li>Paketfilter auf Router + <strong>Bastion Host</strong> mit Proxy-Diensten.</li><li>Router erlaubt nur Traffic zwischen Bastion Host und Internet sowie internem Netz.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit screened-host source::05-net-sicherheit"
"Was ist die Screened Subnet-Architektur (DMZ)?","<ul><li><strong>Bastion Host</strong> im Perimeter-Netz zwischen zwei Routern.</li><li>Innere Netz sichtbar nur über zwei Paketfilter.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit screened-subnet dmz source::05-net-sicherheit"
"Was ist die Split Screened Subnet-Architektur?","<ul><li>Dual-Homed Host <strong>teilt</strong> das Perimeternetz.</li><li>Zwei Router schützen den Dual-Homed Host nach innen/außen.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit split-screened-subnet source::05-net-sicherheit"
"Was kann ein Paketfilter grundsätzlich nicht erkennen?","<ul><li>Angriffe, die sich als normale Pakete tarnen.</li><li>Alles, was in der <strong>Payload</strong> (OSI 5–6) passiert.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit paketfilter grenzen source::05-net-sicherheit"
"Wie funktioniert eine Web Application Firewall (WAF) im Grundablauf?","<ol><li>WAF stellt Dienste nach außen bereit (Reverse Proxy).</li><li>Client sendet Request an WAF.</li><li>WAF filtert Request und leitet an App-Server.</li><li>Response geht zurück an WAF und wird gefiltert.</li></ol>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit waf source::05-net-sicherheit"
"Welche Stärken und Schwächen einer Web Application Firewall nennt die Vorlesung?","<table><thead><tr><th>Stärken</th><th>Schwächen</th></tr></thead><tbody><tr><td>Filtert HTTP-Header/Body</td><td>Komplexe Administration</td></tr><tr><td>Schutz vor Exploits ohne Patch</td><td>Regeln können sehr rechenaufwendig sein</td></tr></tbody></table>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit waf source::05-net-sicherheit"
"Was zeichnet eine Next Generation Firewall (NGFW) aus?","<ul><li><strong>Deep Packet Inspection</strong> inkl. App-Erkennung.</li><li>Kann Payload <strong>entschlüsseln</strong> (TLS/SSL/SSH) und prüfen.</li><li>Oft Integration in Authentifizierung (z.B. AD).</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit ngfw source::05-net-sicherheit"
"Welche zentrale Schwäche von NGFW nennt die Vorlesung?","<ul><li>NGFW agiert als <strong>Man-in-the-Middle</strong> mit eigenen Zertifikaten.</li><li>Ende-zu-Ende-Verschlüsselung wird aufgehoben.</li><li>Certificate Pinning muss deaktiviert werden.</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit ngfw schwachstellen source::05-net-sicherheit"
"Worin unterscheiden sich IDS und IPS?","<ul><li><strong>IDS</strong>: Erkennung und Alarmierung von Angriffen.</li><li><strong>IPS</strong>: IDS + aktive Reaktion (Datenstrom unterbrechen/Regeln ändern).</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit ids ips source::05-net-sicherheit"
"Welche IDS-Varianten unterscheidet die Vorlesung nach Erkennungsmethode?","<ul><li><strong>Anomalieerkennung</strong> (ML/Heuristiken)</li><li><strong>Signaturerkennung</strong> (bekannte Exploits/Regeln)</li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit ids methoden source::05-net-sicherheit"
"Welche IDS-Varianten unterscheidet die Vorlesung nach Ort der Datengewinnung?","<ul><li><strong>Host-Based IDS</strong></li><li><strong>Network-Based IDS</strong></li><li><strong>Hybrides IDS</strong></li></ul>","week-5 WS25/26 netzwerk-sicherheit it-sicherheit ids typen source::05-net-sicherheit"
