"Was ist das Ziel des IT-Grundschutzes?","<blockquote>Durch infrastrukturelle, organisatorische, personelle und technische <strong>Standard-Sicherheitsmaßnahmen</strong> ein <strong>Standard-Sicherheitsniveau</strong> aufbauen, das für sensiblere Bereiche ausbaufähig ist.</blockquote>","week-7 WS25/26 grundschutz it-sicherheit source::07-grundschutz"
"Was bedeutet Security Theater?","<blockquote>Security Theater sind Sicherheitsmaßnahmen, die vor allem ein <strong>Gefühl von Sicherheit</strong> erzeugen, aber wenig oder nichts zur tatsächlichen Sicherheit beitragen.</blockquote>","week-7 WS25/26 grundschutz security-theater it-sicherheit source::07-grundschutz"
"Was bedeutet Compliance Theater?","<blockquote>Compliance Theater sind kleine, sichtbare Änderungen, die Vorschriften und öffentliche Erwartungen erfüllen sollen, ohne grundlegende Veränderungen umzusetzen.</blockquote>","week-7 WS25/26 grundschutz compliance-theater it-sicherheit source::07-grundschutz"
"Wofür steht die Abkürzung ISMS im Kontext BSI-Standard 200-1?","<strong>InformationsSicherheitsManagementSystem</strong> (Managementsystem für Informationssicherheit).","week-7 WS25/26 isms bsi-200-1 grundschutz it-sicherheit source::07-grundschutz"
"Wer ist die Zielgruppe des BSI-Standards 200-1?","<strong>Management</strong>.","week-7 WS25/26 isms bsi-200-1 grundschutz it-sicherheit source::07-grundschutz"
"Was ist das Ziel des BSI-Standards 200-1?","<ul><li><strong>Allgemeine Anforderungen</strong> an ein ISMS definieren.</li><li><strong>Kompatibel</strong> mit ISO/IEC 27001 sein.</li><li>Didaktisch <strong>aufbereitet</strong> sein.</li></ul>","week-7 WS25/26 isms bsi-200-1 grundschutz it-sicherheit source::07-grundschutz"
"Welche Komponenten umfasst ein ISMS nach BSI-Standard 200-1?","<ul><li><strong>Management-Prinzipien</strong></li><li><strong>Ressourcen</strong></li><li><strong>Mitarbeiter</strong></li><li><strong>IT-Sicherheitsprozess</strong> (IT-Sicherheitsleitlinie inkl. Ziele/Strategie, IT-Sicherheitskonzept, IT-Sicherheitsorganisation)</li></ul>","week-7 WS25/26 isms bsi-200-1 grundschutz it-sicherheit source::07-grundschutz"
"Was ist der Informationsverbund in der Strukturanalyse (BSI-200-2)?","<blockquote>Die Menge an Assets aus Infrastruktur, Organisation, Personal und Technik, die nötig sind, um eine Geschäftsaufgabe zu erfüllen.</blockquote>","week-7 WS25/26 bsi-200-2 strukturanalyse grundschutz it-sicherheit source::07-grundschutz"
"Wie läuft die Schutzbedarfsfeststellung nach BSI-Standard 200-2 grundsätzlich ab?","<ol><li>Schutzbedarfskategorien <strong>normal</strong>, <strong>hoch</strong>, <strong>sehr hoch</strong> definieren.</li><li>Schutzbedarfe der <strong>Anwendungen</strong> bestimmen.</li><li>Schutzbedarfe der <strong>IT-Systeme</strong> von den Anwendungen ableiten.</li><li>Schutzbedarfe der <strong>Kommunikationsverbindungen und Infrastruktur</strong> daraus ableiten.</li><li>Schutzbedarfe <strong>dokumentieren und evaluieren</strong>.</li></ol>","week-7 WS25/26 bsi-200-2 schutzbedarfsfeststellung grundschutz it-sicherheit source::07-grundschutz"
"Was passiert bei der Modellierung nach BSI-Standard 200-2, und welche Informationen werden dafür benötigt?","<ul><li>Für die identifizierten Komponenten werden passende <strong>Grundschutz-Bausteine</strong> ausgewählt.</li><li>Aus den Bausteinen werden die <strong>erforderlichen Maßnahmen</strong> bestimmt.</li><li>Benötigt werden die <strong>Komponenten/Assets</strong> aus der Strukturanalyse und ihre <strong>Schutzbedarfe</strong> aus der Schutzbedarfsfeststellung.</li></ul>","week-7 WS25/26 bsi-200-2 modellierung grundschutz it-sicherheit source::07-grundschutz"
"Was ist der Zweck des IT-Grundschutz-Checks?","<blockquote>Ein <strong>Soll-Ist-Vergleich</strong> zwischen den empfohlenen Grundschutz-Maßnahmen und den bereits umgesetzten Maßnahmen, um potenzielle Schutzmaßnahmen abzuleiten.</blockquote>","week-7 WS25/26 bsi-200-2 grundschutz-check grundschutz it-sicherheit source::07-grundschutz"
"Welche Umsetzungsstatus werden im IT-Grundschutz-Check verwendet?","<ul><li><strong>Umgesetzt</strong></li><li><strong>Teilweise umgesetzt</strong></li><li><strong>Nicht umgesetzt</strong></li><li><strong>Entbehrlich</strong></li></ul>","week-7 WS25/26 bsi-200-2 grundschutz-check grundschutz it-sicherheit source::07-grundschutz"
"Welche Schritte umfasst die Realisierung der Schutzmaßnahmen nach BSI-Standard 200-2?","<ol><li><strong>Sichten</strong> der Ergebnisse.</li><li><strong>Konsolidierung</strong> der Schutzmaßnahmen.</li><li><strong>Aufwandseinschätzung</strong> (finanziell/personell).</li><li><strong>Umsetzungsreihenfolge</strong> festlegen.</li><li><strong>Verantwortliche</strong> bestimmen.</li><li><strong>Begleitende Maßnahmen</strong> definieren (z. B. Schulung/Sensibilisierung).</li></ol>","week-7 WS25/26 bsi-200-2 realisierung grundschutz it-sicherheit source::07-grundschutz"
"Wann ist eine ergänzende Risikoanalyse nach BSI-Standard 200-3 erforderlich?","<ul><li><strong>Hoher Schutzbedarf</strong></li><li><strong>Ungewöhnliche Anwendungsszenarien</strong></li><li>Wenn <strong>keine</strong> passenden Kompendium-Bausteine existieren</li><li>Wenn das <strong>Management</strong> es verlangt</li></ul>","week-7 WS25/26 bsi-200-3 risikoanalyse grundschutz it-sicherheit source::07-grundschutz"
"Welche Hauptphasen umfasst die Risikoanalyse nach BSI-Standard 200-3?","<ul><li><strong>Gefährdungsübersicht</strong></li><li><strong>Einstufung von Risiken</strong></li><li><strong>Behandlung von Risiken</strong></li><li><strong>Konsolidierung</strong></li></ul>","week-7 WS25/26 bsi-200-3 risikoanalyse grundschutz it-sicherheit source::07-grundschutz"
"Welche vier grundlegenden Optionen der Risikobehandlung nennt BSI-Standard 200-3?","<ul><li><strong>Vermeidung</strong></li><li><strong>Reduktion</strong></li><li><strong>Transfer</strong></li><li><strong>Akzeptanz</strong></li></ul>","week-7 WS25/26 bsi-200-3 risikoanalyse grundschutz it-sicherheit source::07-grundschutz"
